x,y,z,label
526039.666,4694101.24,9.198,2.0
526039.204,4694101.695,9.239,2.0
526040.309,4694102.92,9.257,2.0
526039.64,4694101.334,9.268,2.0
526040.008,4694101.506,9.269,2.0
526037.03,4694101.052,9.27,2.0
526037.236,4694100.96,9.378,2.0
526039.933,4694101.314,9.378,2.0
526035.918,4694104.606,9.4,2.0
526035.746,4694104.818,9.431,2.0
526036.048,4694104.347,9.448,2.0
526040.261,4694101.23,9.457,2.0
526040.007,4694101.169,9.458,2.0
526040.051,4694100.963,9.459,2.0
526035.571,4694104.723,9.472,2.0
526039.987,4694101.23,9.497,2.0
526035.923,4694104.343,9.524,2.0
526036.084,4694104.654,9.531,2.0
526033.516,4694101.67,9.544,2.0
526040.13,4694101.424,9.591,2.0
526035.16,4694104.113,9.896,2.0
526034.285,4694101.565,10.172,2.0
526033.749,4694101.914,10.183,2.0
526034.272,4694101.389,10.248,2.0
526034.121,4694101.407,10.429,2.0
526034.309,4694101.794,10.574,2.0
526034.014,4694101.61,10.587,2.0
526033.873,4694101.447,10.606,2.0
526034.545,4694102.576,10.614,2.0
526034.548,4694102.376,10.695,2.0
526039.192,4694101.973,10.722,2.0
526040.227,4694104.398,10.732,2.0
526040.423,4694104.373,10.795,2.0
526038.25,4694100.546,10.838,2.0
526040.472,4694104.249,10.839,2.0
526037.546,4694100.389,10.862,2.0
526039.914,4694102.723,10.87,2.0
526038.043,4694100.712,10.872,2.0
526040.747,4694104.311,10.877,2.0
526039.459,4694101.896,10.894,2.0
526039.607,4694102.711,10.897,2.0
526040.043,4694102.666,10.926,2.0
526037.35,4694100.379,10.942,2.0
526040.756,4694104.295,10.944,2.0
526037.49,4694100.662,10.946,2.0
526038.018,4694100.989,10.977,2.0
526037.865,4694100.591,10.991,2.0
526039.659,4694102.31,10.991,2.0
526040.003,4694102.468,11.035,2.0
526039.931,4694102.255,11.047,2.0
526037.436,4694100.831,11.06,2.0
526037.54,4694100.64,11.066,2.0
526040.006,4694102.04,11.092,2.0
526039.52,4694102.873,11.094,2.0
526037.922,4694100.891,11.115,2.0
526040.721,4694103.987,11.12,2.0
526039.542,4694102.038,11.133,2.0
526040.71,4694104.036,11.146,2.0
526040.798,4694104.045,11.155,2.0
526033.922,4694101.746,11.21,2.0
526034.057,4694101.998,11.218,2.0
526033.875,4694101.966,11.233,2.0
526040.049,4694101.913,11.256,2.0
526039.766,4694101.86,11.304,2.0
526039.872,4694102.108,11.315,2.0
526037.249,4694101.323,11.323,2.0
526037.378,4694101.899,11.323,2.0
526034.828,4694103.798,11.323,2.0
526040.856,4694103.786,11.35,2.0
526039.705,4694101.727,11.386,2.0
526037.23,4694101.585,11.393,2.0
526034.317,4694102.047,11.409,2.0
526037.592,4694101.524,11.445,2.0
526037.468,4694101.581,11.456,2.0
526039.755,4694101.736,11.462,2.0
526039.896,4694106.074,11.508,2.0
526039.706,4694101.883,11.509,2.0
